Student_ID,Exam_Name,Exam_Score,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
1,OOP,69,6.9,3.8,8.7,2.8,1.8,2.99,Moderate
2,Database Systems,63,5.3,3.5,8,4.2,3,2.75,Low
3,SAD,70,5.1,3.9,9.2,1.2,4.6,2.67,Low
4,MIS,70,6.5,2.1,7.2,1.7,6.5,2.88,Moderate
5,OOP,83,8.1,0.6,6.5,2.2,6.6,3.51,High
6,Computer Networks,74,6,2.1,8,0.3,7.6,2.85,Moderate
7,DSA,78,8,0.7,5.3,5.7,4.3,3.08,High
8,OOP,81,8.4,1.8,5.6,3,5.2,3.2,High
9,SAD,73,5.2,3.6,6.3,4,4.9,2.82,Low
10,MIS,65,7.7,0.7,9.8,4.5,1.3,2.76,Moderate
11,Database Systems,81,9.7,3.6,8,2.5,0.2,3.43,High
12,SAD,79,6.9,1.1,9.1,2.1,4.8,2.97,Moderate
13,SAD,66,6.4,2.2,5.7,4.8,4.9,2.82,High
14,DSA,68,5,3.3,8.5,4.4,2.8,2.87,Low
15,Foundation of web technologies,82,8.9,0.3,6.8,0.7,7.3,3.4,High
16,MIS,86,6.7,0.3,6.6,2,8.4,3.2,Moderate
17,Data Science,85,8.6,2.6,9.4,1.6,1.8,3.36,High
18,SAD,83,8.8,2.2,8.9,2,2.1,3.19,High
19,Foundation of web technologies,80,7.6,1.7,5.1,0.6,9,3.16,High
20,Data Science,71,6.6,2,9.5,1.5,4.4,2.93,Moderate
21,MIS,74,7.1,3,6.1,0.5,7.3,2.9,Moderate
22,Fundamentals of Programming,79,9.6,3.2,8.2,2.6,0.4,3.34,High
23,Computer Networks,77,9,0.7,9.5,2.6,2.2,3.21,High
24,Foundation of web technologies,73,6.1,1.7,9.1,5.2,1.9,2.85,Moderate
25,Computer Organization,63,5,2,7.1,1.3,8.6,2.68,Low
26,Fundamentals of Programming,82,9.7,1.3,7.6,3.8,1.6,3.29,High
27,Computer Networks,66,6.8,3.9,9.8,0.9,2.6,2.64,Moderate
28,DSA,72,6.4,0.1,8,3,6.5,2.95,Moderate
29,OOP,64,5.3,1.1,9.5,1.4,6.7,2.79,Low
30,Database Systems,79,9.9,1,8.4,3.6,1.1,3.25,High
31,Computer Organization,74,6.2,2.9,6.8,3.8,4.3,3.05,Moderate
32,DSA,82,5.5,3.3,6.6,1.1,7.5,3.26,Low
33,MIS,62,5.2,2.4,8.4,0.1,7.9,2.47,Low
34,DSA,82,8.2,0.7,8.5,2.3,4.3,3.24,High
35,OOP,88,9.7,0.6,6.7,0.7,6.3,3.62,High
36,MIS,80,9.1,2.2,7.6,1.2,3.9,3.12,High
37,Computer Organization,60,5.5,3.6,9.5,3.4,2,2.58,Low
38,OOP,70,8.6,3.6,9.4,1.9,0.5,3.03,High
39,Data Science,75,8.2,0.3,5.8,5.4,4.3,3.29,High
40,Database Systems,64,5,0.6,7.7,4.2,6.5,2.61,Low
41,Computer Organization,85,8.3,0.9,8.6,1.4,4.8,3.48,High
42,Data Science,79,8.2,3.4,8.3,2.3,1.8,3.07,High
43,Computer Networks,68,5.5,1.5,6.3,1.5,9.2,2.81,Low
44,Computer Organization,88,9.5,2.5,9,1.5,1.5,3.49,High
45,Computer Networks,77,7.9,2,6,4.3,3.8,2.97,Moderate
46,MIS,87,9.7,3.8,9.6,0.3,0.6,3.55,High
47,Data Science,66,5.1,3.7,7.1,5.8,2.3,2.6,Low
48,Database Systems,80,9.3,1.3,5.8,3.3,4.3,3.09,High
49,OOP,83,9.7,2.8,7.9,0.3,3.3,3.47,High
50,SAD,80,9.4,3,8.5,2.2,0.9,3.18,High
51,DSA,76,6.8,1.2,9,4.9,2.1,3.12,Moderate
52,Fundamentals of Programming,96,9,2.6,8.5,3.1,0.8,4,High
53,Database Systems,79,9.5,1.4,6.9,0.6,5.6,3.33,High
54,Data Science,74,7.3,2.2,6.4,3.5,4.6,3.11,Moderate
55,SAD,70,5.2,0.1,9.1,2.2,7.4,2.79,Low
56,Database Systems,73,8.8,0.9,8.1,0.5,5.7,3.1,High
57,Data Science,58,5.3,2.1,7.7,3.8,5.1,2.39,Low
58,Foundation of web technologies,87,9,1.1,7.2,0.5,6.2,3.39,High
59,Foundation of web technologies,64,5.1,3.9,9.2,4,1.8,2.52,Low
